;acc;iterations;loss;model;time;val_acc;val_loss
0;[0.9281, 0.9816, 0.9884, 0.9922, 0.9942];5;[0.2413, 0.0618, 0.0386, 0.0269, 0.0189];model1, kernel: (2,2), pool: (2, 2), dropout: 0.1 ;798.77;[0.979, 0.9844, 0.9874, 0.9865, 0.9876];[0.0693, 0.0498, 0.0367, 0.0377, 0.0353]
1;[0.9264, 0.9807, 0.9876, 0.9908, 0.9931];5;[0.2397, 0.0639, 0.0409, 0.0296, 0.0217];model1, kernel: (2,2), pool: (2, 2), dropout: 0.2 ;752.98;[0.9752, 0.9839, 0.9859, 0.9874, 0.9881];[0.074, 0.0503, 0.043, 0.0379, 0.0389]
2;[0.9242, 0.9798, 0.9862, 0.9897, 0.9931];5;[0.2492, 0.0669, 0.0439, 0.0322, 0.0233];model1, kernel: (2,2), pool: (2, 2), dropout: 0.3 ;701.76;[0.9759, 0.9827, 0.986, 0.9874, 0.9875];[0.0803, 0.0527, 0.0471, 0.038, 0.0345]
3;[0.9294, 0.9792, 0.9852, 0.989, 0.9912];5;[0.2352, 0.0688, 0.0479, 0.035, 0.0274];model1, kernel: (2,2), pool: (2, 2), dropout: 0.4 ;700.51;[0.9789, 0.9854, 0.9863, 0.9856, 0.9877];[0.0701, 0.0463, 0.0402, 0.0434, 0.0347]
4;[0.9213, 0.9769, 0.9844, 0.9877, 0.9898];5;[0.2575, 0.075, 0.0515, 0.0395, 0.0314];model1, kernel: (2,2), pool: (2, 2), dropout: 0.5 ;700.3;[0.9731, 0.983, 0.9834, 0.9861, 0.9878];[0.0889, 0.0532, 0.0493, 0.0396, 0.036]
5;[0.9451, 0.9859, 0.9899, 0.9925, 0.9947];5;[0.1758, 0.0471, 0.0309, 0.0231, 0.0169];model1, kernel: (7,7), pool: (2, 2), dropout: 0.1 ;1394.73;[0.9829, 0.9877, 0.99, 0.9902, 0.992];[0.0511, 0.0392, 0.0274, 0.0311, 0.0251]
6;[0.9465, 0.9856, 0.9897, 0.9925, 0.9944];5;[0.1733, 0.0469, 0.0321, 0.0235, 0.0181];model1, kernel: (7,7), pool: (2, 2), dropout: 0.2 ;1394.57;[0.9827, 0.9864, 0.9903, 0.9894, 0.9923];[0.0547, 0.0412, 0.0269, 0.0355, 0.0237]
7;[0.9449, 0.984, 0.9894, 0.9914, 0.993];5;[0.1759, 0.0504, 0.0345, 0.0272, 0.0217];model1, kernel: (7,7), pool: (2, 2), dropout: 0.3 ;1391.01;[0.9853, 0.9904, 0.9883, 0.99, 0.99];[0.0438, 0.032, 0.0314, 0.0305, 0.0327]
8;[0.9434, 0.9828, 0.988, 0.9908, 0.9924];5;[0.1812, 0.0543, 0.0379, 0.0297, 0.0249];model1, kernel: (7,7), pool: (2, 2), dropout: 0.4 ;1393.53;[0.9799, 0.9866, 0.991, 0.991, 0.9913];[0.0612, 0.0386, 0.0265, 0.0281, 0.025]
9;[0.941, 0.9818, 0.987, 0.9888, 0.9908];5;[0.1919, 0.0587, 0.0431, 0.0353, 0.0287];model1, kernel: (7,7), pool: (2, 2), dropout: 0.5 ;1391.83;[0.9836, 0.9888, 0.9898, 0.9908, 0.9926];[0.0513, 0.034, 0.0298, 0.0263, 0.0237]
10;[0.7184, 0.8718, 0.8879, 0.8958, 0.903];5;[0.8526, 0.418, 0.3682, 0.3487, 0.3228];model1, kernel: (12,12), pool: (2, 2), dropout: 0.1 ;923.21;[0.9023, 0.9143, 0.9248, 0.9151, 0.9329];[0.3178, 0.2789, 0.2468, 0.2695, 0.2184]
11;[0.6972, 0.8485, 0.8648, 0.8763, 0.8796];5;[0.9277, 0.4888, 0.4447, 0.4049, 0.3949];model1, kernel: (12,12), pool: (2, 2), dropout: 0.2 ;924.76;[0.867, 0.9191, 0.9112, 0.9159, 0.9112];[0.4241, 0.26, 0.2833, 0.2718, 0.2739]
12;[0.561, 0.7586, 0.7786, 0.7946, 0.8059];5;[1.2855, 0.7554, 0.6939, 0.6532, 0.6254];model1, kernel: (12,12), pool: (2, 2), dropout: 0.3 ;921.18;[0.814, 0.8721, 0.8504, 0.8246, 0.8595];[0.5493, 0.4142, 0.4489, 0.5788, 0.4207]
13;[0.582, 0.7674, 0.7923, 0.798, 0.8091];5;[1.2567, 0.7441, 0.6606, 0.6536, 0.6229];model1, kernel: (12,12), pool: (2, 2), dropout: 0.4 ;936.39;[0.8584, 0.8096, 0.8897, 0.8151, 0.881];[0.4702, 0.5585, 0.3594, 0.6069, 0.3703]
14;[0.4925, 0.6599, 0.6941, 0.7071, 0.7233];5;[1.4499, 1.0178, 0.9299, 0.9066, 0.8662];model1, kernel: (12,12), pool: (2, 2), dropout: 0.5 ;922.02;[0.7173, 0.8419, 0.8276, 0.852, 0.8852];[0.8573, 0.6081, 0.5993, 0.5076, 0.4344]
15;[0.9013, 0.9674, 0.9762, 0.9806, 0.9831];5;[0.3325, 0.1116, 0.079, 0.065, 0.0568];model2, kernel: (2,2), pool: (2, 2) ;245.74;[0.9616, 0.9771, 0.9791, 0.9802, 0.9797];[0.1347, 0.0759, 0.0677, 0.062, 0.0627]
16;[0.9388, 0.981, 0.9864, 0.9885, 0.9898];5;[0.2028, 0.0631, 0.0463, 0.0383, 0.0318];model2, kernel: (7,7), pool: (2, 2) ;306.65;[0.9789, 0.9861, 0.9864, 0.9864, 0.9889];[0.0693, 0.0434, 0.0431, 0.0405, 0.0324]
17;[0.937, 0.9803, 0.9862, 0.9887, 0.9904];5;[0.2123, 0.0644, 0.0466, 0.0372, 0.0299];model2, kernel: (12,12), pool: (2, 2) ;245.46;[0.9789, 0.9862, 0.9886, 0.9872, 0.9878];[0.0684, 0.0434, 0.0346, 0.039, 0.0367]
18;[0.919, 0.9751, 0.9829, 0.9866, 0.989];5;[0.2649, 0.0824, 0.0559, 0.0431, 0.0355];model2, kernel: (17,17), pool: (2, 2) ;210.41;[0.9693, 0.9804, 0.9811, 0.9843, 0.9807];[0.0956, 0.0591, 0.0591, 0.045, 0.0621]
19;[0.9115, 0.9706, 0.9801, 0.9842, 0.9876];5;[0.3002, 0.0998, 0.0662, 0.0509, 0.0423];model3, kernel: (2,2);706.44;[0.9557, 0.9766, 0.977, 0.9787, 0.9768];[0.1423, 0.0738, 0.074, 0.0645, 0.0759]
20;[0.9345, 0.9799, 0.9858, 0.9895, 0.9918];5;[0.2183, 0.0657, 0.0462, 0.0354, 0.0279];model3, kernel: (7,7);601.15;[0.973, 0.9819, 0.9873, 0.9879, 0.989];[0.0839, 0.056, 0.0393, 0.0368, 0.0326]
21;[0.9267, 0.9799, 0.986, 0.9896, 0.9922];5;[0.318, 0.0662, 0.0448, 0.0338, 0.0257];model3, kernel: (12,12);432.85;[0.9781, 0.9843, 0.9884, 0.9892, 0.9889];[0.0703, 0.0497, 0.0354, 0.0318, 0.0347]
22;[0.9292, 0.9768, 0.9839, 0.988, 0.9902];5;[0.2301, 0.076, 0.0523, 0.0393, 0.0314];model3, kernel: (17,17);292.67;[0.9744, 0.9814, 0.984, 0.9851, 0.9858];[0.0819, 0.0606, 0.0508, 0.0473, 0.0461]
23;[0.9215, 0.9763, 0.9834, 0.9869, 0.9891];5;[0.2604, 0.0796, 0.0562, 0.0451, 0.0374];model4, kernel1: (2,2), kernel2:(2, 2);548.24;[0.9713, 0.98, 0.9805, 0.9802, 0.9797];[0.0948, 0.0647, 0.0589, 0.0607, 0.0601]
24;[0.9505, 0.9842, 0.9889, 0.9915, 0.9935];5;[0.1624, 0.0521, 0.0365, 0.0279, 0.0212];model4, kernel1: (2,2), kernel2:(7, 7);2035.33;[0.9823, 0.9856, 0.9859, 0.9881, 0.9898];[0.0562, 0.041, 0.0392, 0.033, 0.0335]
25;[0.9451, 0.9829, 0.9876, 0.9906, 0.9929];5;[0.1771, 0.0553, 0.0402, 0.0299, 0.0244];model4, kernel1: (2,2), kernel2:(12, 12);3476.31;[0.983, 0.9845, 0.9873, 0.9883, 0.9879];[0.0511, 0.0471, 0.0399, 0.0431, 0.0413]
