;test_acc;test_loss;time;train_acc;train_loss;val_acc;val_loss
0;0.9833;0.0544;266.82;0.937;0.2023;0.9798;0.067
1;0.9859;0.0454;546.84;0.9839;0.0525;0.9838;0.0556
2;0.9854;0.0445;826.64;0.9889;0.0345;0.9862;0.0491
3;0.99;0.0314;1112.22;0.9922;0.0262;0.9875;0.0429
4;0.9916;0.0318;1393.57;0.9941;0.0191;0.989;0.0439
5;0.992;0.028;1675.37;0.9951;0.0154;0.9897;0.0407
6;0.9923;0.0262;1967.16;0.9957;0.013;0.9912;0.036
7;0.9911;0.032;2249.22;0.9966;0.0098;0.9898;0.0403
8;0.9924;0.0294;2529.92;0.998;0.0066;0.9912;0.0365
9;0.9913;0.0329;2818.73;0.998;0.0062;0.9895;0.0439
10;0.9922;0.0357;3106.92;0.998;0.0065;0.9911;0.0424
11;0.9906;0.041;3390.65;0.9985;0.0039;0.9903;0.048
12;0.9913;0.0356;3678.34;0.9986;0.0041;0.9916;0.0405
13;0.9916;0.0396;3963.29;0.9989;0.0035;0.9913;0.0462
14;0.9909;0.0422;4245.21;0.9989;0.0028;0.9907;0.0483
15;0.9928;0.0326;4525.14;0.999;0.0026;0.9919;0.0466
16;0.9919;0.0373;4804.85;0.999;0.003;0.9912;0.0488
17;0.9919;0.0377;5084.23;0.9992;0.0023;0.9915;0.0477
18;0.9923;0.0397;5365.32;0.9992;0.0026;0.9915;0.0457
19;0.9915;0.0405;5645.29;0.9995;0.0014;0.9906;0.0522
20;0.9932;0.0389;5926.78;0.9994;0.0016;0.9917;0.0464
21;0.9927;0.0397;6207.41;0.9996;0.0012;0.9922;0.0469
22;0.9924;0.0397;6488.04;0.9998;0.001;0.9917;0.0503
23;0.992;0.043;6768.69;0.9997;0.0009;0.9915;0.0548
24;0.9919;0.0436;7049.44;0.9996;0.0011;0.9906;0.0592
25;0.9914;0.0485;7337.69;0.9993;0.0017;0.9908;0.0575
26;0.9913;0.0481;7618.68;0.9996;0.001;0.9907;0.0537
27;0.9918;0.0433;7899.61;0.9997;0.001;0.9915;0.0528
28;0.9921;0.0463;8184.0;0.9998;0.0007;0.9916;0.0557
29;0.992;0.0496;8465.15;0.9999;0.0005;0.9912;0.061
