;test_acc;test_loss;time;train_acc;train_loss;val_acc;val_loss
0;0.9739;0.0805;143.63;0.9139;0.2839;0.973;0.0899
1;0.9812;0.0557;293.51;0.9787;0.0728;0.9815;0.0617
2;0.9862;0.045;443.12;0.986;0.0463;0.9844;0.0535
3;0.985;0.0434;595.63;0.9903;0.0334;0.9859;0.0495
4;0.9854;0.0463;745.23;0.9927;0.0236;0.9854;0.0519
5;0.9863;0.0415;894.44;0.9937;0.0192;0.9877;0.0443
6;0.9881;0.0398;1043.54;0.9961;0.0124;0.9877;0.0473
7;0.9855;0.0509;1192.89;0.9964;0.0103;0.9857;0.0595
8;0.9876;0.0463;1342.1;0.9976;0.008;0.9876;0.0524
9;0.988;0.0492;1497.48;0.9981;0.0062;0.9876;0.0564
10;0.9869;0.0545;1652.0;0.9984;0.0048;0.9852;0.0642
11;0.9886;0.0478;1801.71;0.9989;0.0037;0.9867;0.0562
12;0.9868;0.0552;1951.45;0.9991;0.0028;0.9871;0.0608
13;0.9869;0.0556;2101.16;0.9992;0.0024;0.9873;0.0636
14;0.9852;0.0663;2250.65;0.9994;0.0017;0.9857;0.0738
15;0.989;0.0543;2403.26;0.9995;0.0016;0.987;0.0653
16;0.9888;0.0535;2552.8;0.9996;0.0013;0.9872;0.0677
17;0.9882;0.0544;2702.46;0.9996;0.0012;0.9881;0.0597
18;0.9888;0.0528;2852.32;0.9996;0.0013;0.9882;0.0646
19;0.9886;0.0533;3003.06;0.9999;0.0007;0.9883;0.0644
20;0.9891;0.0573;3153.37;0.9997;0.0011;0.9878;0.0703
21;0.989;0.054;3303.52;0.9997;0.001;0.9876;0.0673
22;0.9886;0.058;3453.73;0.9999;0.0006;0.9878;0.0665
23;0.9902;0.0542;3603.53;0.9998;0.0006;0.9886;0.07
24;0.9895;0.0576;3753.13;0.9998;0.0009;0.9876;0.0677
25;0.989;0.0623;3902.83;0.9999;0.0005;0.9894;0.069
26;0.9886;0.0653;4053.02;0.9998;0.0007;0.9877;0.0741
27;0.9876;0.0707;4203.52;0.9999;0.0003;0.9861;0.0804
28;0.9892;0.0575;4353.35;0.9998;0.0007;0.9874;0.0757
29;0.9888;0.0617;4502.82;0.9999;0.0003;0.9876;0.0731
