;test_acc;test_loss;time;train_acc;train_loss;val_acc;val_loss
0;0.9769;0.076;74.87;0.931;0.2282;0.9726;0.0851
1;0.9799;0.0599;156.04;0.9798;0.066;0.9797;0.0676
2;0.986;0.0423;233.78;0.9863;0.0459;0.9837;0.0518
3;0.9867;0.0391;313.13;0.9888;0.0346;0.9862;0.0486
4;0.9876;0.0352;391.41;0.9913;0.0275;0.9863;0.046
5;0.988;0.0399;474.13;0.9933;0.0212;0.9865;0.0454
6;0.9883;0.0375;558.48;0.9944;0.0174;0.9862;0.0496
7;0.99;0.0339;649.92;0.9958;0.0138;0.9872;0.0428
8;0.9891;0.0384;756.92;0.9965;0.0112;0.9874;0.0473
9;0.9876;0.0442;840.4;0.9975;0.0092;0.9858;0.0513
10;0.9894;0.0393;976.1;0.9981;0.007;0.9877;0.0466
11;0.9903;0.0375;1127.25;0.9982;0.0059;0.9885;0.0443
12;0.989;0.0407;1237.82;0.9985;0.0047;0.9886;0.049
13;0.9889;0.05;1328.84;0.999;0.0034;0.9869;0.0573
14;0.9901;0.0433;1430.62;0.9992;0.0027;0.9887;0.0488
15;0.9901;0.0433;1526.98;0.9993;0.0022;0.989;0.0474
16;0.989;0.0467;1624.61;0.9997;0.0014;0.9894;0.05
17;0.9887;0.0513;1721.9;0.9996;0.0012;0.9877;0.0554
18;0.9897;0.0525;1811.97;0.9998;0.0009;0.9887;0.0532
19;0.9897;0.0507;1914.64;0.9999;0.0008;0.9883;0.057
20;0.9894;0.0541;2013.5;0.9999;0.0006;0.9888;0.0584
21;0.99;0.0516;2109.76;0.9999;0.0003;0.9883;0.057
22;0.9904;0.0503;2203.57;0.9999;0.0004;0.9891;0.057
23;0.9895;0.0525;2294.19;0.9998;0.0004;0.9893;0.0569
24;0.99;0.0514;2385.47;1.0;0.0001;0.9901;0.0556
25;0.9903;0.053;2463.94;1.0;0.0001;0.9895;0.0584
26;0.9903;0.0539;2542.33;1.0;0.0001;0.9896;0.0587
27;0.9897;0.0542;2621.29;1.0;0.0001;0.9889;0.0602
28;0.9902;0.0549;2700.15;1.0;0.0001;0.9892;0.0603
29;0.9901;0.0556;2778.51;1.0;0.0;0.9892;0.0602
