;test_acc;test_loss;time;train_acc;train_loss;val_acc;val_loss
0;0.9864;0.0429;405.29;0.9383;0.1989;0.9823;0.0571
1;0.9878;0.0384;697.44;0.9843;0.0506;0.9862;0.0472
2;0.9892;0.0318;979.28;0.9899;0.0332;0.9883;0.0403
3;0.9893;0.0342;1262.73;0.993;0.0237;0.9868;0.0458
4;0.9901;0.0338;1544.35;0.9944;0.0176;0.9877;0.0448
5;0.9908;0.0311;1823.38;0.9958;0.013;0.9884;0.0427
6;0.991;0.0305;2100.91;0.9968;0.01;0.9902;0.0353
7;0.9916;0.0311;2380.12;0.9976;0.0074;0.9899;0.0395
8;0.991;0.0351;2659.02;0.9983;0.0053;0.9892;0.0489
9;0.9916;0.0316;2938.65;0.9983;0.0053;0.9893;0.0448
10;0.9919;0.0347;3219.13;0.9992;0.0029;0.9894;0.0508
11;0.9913;0.0385;3499.92;0.9991;0.0026;0.9896;0.0512
12;0.9919;0.0376;3778.45;0.9991;0.0025;0.9902;0.0498
13;0.9917;0.0382;4058.07;0.9993;0.0022;0.9901;0.0504
14;0.9907;0.0464;4339.3;0.9996;0.0014;0.9892;0.052
15;0.9917;0.042;4621.96;0.9997;0.001;0.9902;0.0521
16;0.9932;0.0381;4900.27;0.9999;0.0005;0.9903;0.053
17;0.9924;0.038;5180.89;0.9998;0.0008;0.9907;0.0531
18;0.9926;0.0378;5462.9;0.9997;0.0009;0.9906;0.0517
19;0.9925;0.039;5744.2;0.9997;0.0008;0.991;0.0537
20;0.9925;0.0431;6026.14;0.9999;0.0005;0.9907;0.0583
21;0.9933;0.038;6307.84;0.9999;0.0002;0.9905;0.0595
22;0.9929;0.0411;6589.02;1.0;0.0001;0.9906;0.0596
23;0.9924;0.0405;6871.12;1.0;0.0002;0.9907;0.0579
24;0.9926;0.0433;7150.22;0.9999;0.0003;0.9908;0.0637
25;0.9931;0.0422;7429.08;0.9997;0.0007;0.9905;0.0608
26;0.9919;0.0397;7710.4;0.9999;0.0005;0.9905;0.0591
27;0.9927;0.0412;7988.91;1.0;0.0001;0.9907;0.059
28;0.9925;0.0445;8269.58;1.0;0.0002;0.9901;0.0657
29;0.9932;0.0417;8549.94;0.9999;0.0002;0.9907;0.0623
